chr1	65564	65573	+	OR4F5
chr1	69036	70008	+	OR4F5
chr1	685715	686654	-	OR4F16
chr1	924431	924948	+	SAMD11
chr1	925921	926013	+	SAMD11
chr1	930154	930336	+	SAMD11
chr1	931038	931089	+	SAMD11
chr1	935771	935896	+	SAMD11
chr1	939039	939129	+	SAMD11
chr1	939271	939412	+	SAMD11
chr1	941143	941306	+	SAMD11
chr1	942135	942251	+	SAMD11
chr1	942409	942488	+	SAMD11
chr1	942558	943058	+	SAMD11
chr1	943252	943377	+	SAMD11
chr1	943697	943808	+	SAMD11
chr1	943907	944153	+	SAMD11
chr1	944693	944800	-	NOC2L
chr1	945056	945146	-	NOC2L
chr1	945517	945653	-	NOC2L
chr1	946172	946286	-	NOC2L
chr1	946401	946545	-	NOC2L
chr1	948130	948232	-	NOC2L
chr1	948489	948603	-	NOC2L
chr1	951126	951238	-	NOC2L
chr1	951999	952139	-	NOC2L
chr1	952411	952600	-	NOC2L
chr1	953174	953288	-	NOC2L
chr1	953781	953892	-	NOC2L
chr1	954003	954082	-	NOC2L
chr1	955922	956013	-	NOC2L
chr1	956094	956215	-	NOC2L
chr1	956893	957025	-	NOC2L
chr1	957098	957273	-	NOC2L
chr1	958928	959081	-	NOC2L
chr1	959214	959240	-	NOC2L
chr1	960693	960800	+	KLHL17
chr1	961292	961552	+	KLHL17
chr1	961628	961750	+	KLHL17
chr1	961825	962047	+	KLHL17
chr1	962354	962471	+	KLHL17
chr1	962703	962917	+	KLHL17
chr1	963108	963253	+	KLHL17
chr1	963336	963504	+	KLHL17
chr1	963919	964008	+	KLHL17
chr1	964106	964180	+	KLHL17
chr1	964348	964530	+	KLHL17
chr1	964962	965191	+	KLHL17
chr1	999058	999432	-	HES4
chr1	999525	999613	-	HES4
chr1	999691	999787	-	HES4
chr1	999865	999973	-	HES4
chr1	1020172	1020373	+	AGRN
chr1	1022200	1022462	+	AGRN
chr1	1035276	1035324	+	AGRN
chr1	1040664	1040880	+	AGRN
chr1	1041172	1041397	+	AGRN
chr1	1041477	1041702	+	AGRN
chr1	1041955	1042162	+	AGRN
chr1	1043238	1043457	+	AGRN
chr1	1043537	1043732	+	AGRN
chr1	1043822	1044023	+	AGRN
chr1	1044108	1044257	+	AGRN
chr1	1044333	1044439	+	AGRN
chr1	1045160	1045277	+	AGRN
chr1	1045358	1045523	+	AGRN
chr1	1045732	1045876	+	AGRN
chr1	1045963	1046088	+	AGRN
chr1	1046159	1046265	+	AGRN
chr1	1046396	1046735	+	AGRN
chr1	1046819	1046957	+	AGRN
chr1	1047326	1047454	+	AGRN
chr1	1047572	1047687	+	AGRN
chr1	1047775	1047895	+	AGRN
chr1	1048011	1048365	+	AGRN
chr1	1048866	1049059	+	AGRN
chr1	1049235	1049451	+	AGRN
chr1	1049565	1049795	+	AGRN
chr1	1049902	1050037	+	AGRN
chr1	1050232	1050329	+	AGRN
chr1	1050426	1050591	+	AGRN
chr1	1050725	1050837	+	AGRN
chr1	1051252	1051369	+	AGRN
chr1	1051452	1051645	+	AGRN
chr1	1051727	1051815	+	AGRN
chr1	1053752	1053977	+	AGRN
chr1	1054447	1054551	+	AGRN
chr1	1054823	1054981	+	AGRN
chr1	1071816	1072566	-	RNF223
chr1	1082892	1082987	-	C1orf159
chr1	1084352	1084383	-	C1orf159
chr1	1084480	1084506	-	C1orf159
chr1	1085877	1086012	-	C1orf159
chr1	1087138	1087204	-	C1orf159
chr1	1087501	1087597	-	C1orf159
chr1	1090352	1090428	-	C1orf159
chr1	1091471	1091543	-	C1orf159
chr1	1179215	1179333	+	TTLL10
chr1	1179656	1179737	+	TTLL10
chr1	1180033	1180340	+	TTLL10
